Name,Price,SKU
"HP Laptop R3/8/128 15.6"" bärbar dator",N/A,764590
"Asus Vivobook 15 X1504 i5-12/8/512/IPS 15.6"" bärbar dator",N/A,768801
"Asus Vivobook S 14 M5406 R7/16/512/OLED 14"" bärbar dator",N/A,768804
"Asus Vivobook 15 X1504 i7-12/16/512/IPS 15.6"" bärbar dator",N/A,768802
"Asus VivoBook Go 15 R5-7/16/512 15.6"" bärbar dator",N/A,617391
"Asus Vivobook S 14 M5406 R5/16/512/OLED 14"" bärbar dator",N/A,768803
"Asus Vivobook Go E410KA Pentium/4/128 14"" bärbar dator",N/A,768799
"Samsung Galaxy Book5 Pro U7-258V/32/512 14"" Copilot+ PC",N/A,877806
"Lenovo IdeaPad Slim 5x Snap-8C/32/1TB/OLED 14"" Copilot+ PC",N/A,797131
"Samsung Galaxy Book4 i3-1315U/8/256/IPS 15.6"" bärbar dator (grå)",N/A,754673
"Microsoft Surface Pro 8C/16/512GB 12"" Copilot+ PC",N/A,907243
"Lenovo Yoga Slim 7 14"" bärbar dator AI 7-350/32GB/512/OLED",N/A,909078
"Microsoft Surface Laptop 8C/16/256GB 13"" Copilot+ PC",N/A,907244
"HP OmniBook X Flip 14 Ultra 7-258V/32/512/OLED 14"" Copilot+ PC",N/A,912001
"Samsung Galaxy Book4 Edge X1P/16/256 15.6"" Copilot+ PC",N/A,877804
"Lenovo IdeaPad Slim 3i 15IRH10 i5-13420H/16GB/512 15.3"" bärbar dator",N/A,910241
"Samsung Galaxy Book4 Core3-100U/8/256/IPS/WPRO 15.6"" bärbar dator (grå)",N/A,898240
"Lenovo Yoga Slim 7 14"" bärbar dator AI 7-350/16GB/512/OLED",N/A,909077
"Microsoft Surface Pro 8C/16/256GB 12"" Copilot+ PC",N/A,907242
"HP OmniBook X Flip 14 Ultra 5-226V/16/512/OLED 14"" Copilot+ PC",N/A,912000
"Lenovo IdeaPad Slim 3 R5/8/512 14"" bärbar dator (Arctic Grey)",N/A,616619
"Lenovo IdeaPad Slim 3x 15Q8X10 Snap-8CSE/16GB/512 15.3"" Copilot+ PC",N/A,910242
"Samsung Galaxy Book4 Core3-100U/8/256/IPS 15.6"" bärbar dator (grå)",N/A,898239
"Samsung Galaxy Book4 Core7-150U/16/512/IPS/WPRO 15.6"" bärbar dator (grå)",N/A,898241
"Asus Vivobook S 14 M5406 R7/32/1TB/OLED 14"" bärbar dator",N/A,768805
"Asus Vivobook S 14 M5406 Ryzen AI 9-365/32/1TB/OLED 14"" Copilot+ PC",N/A,768807
"Microsoft Surface Laptop 8C/16/512GB 13"" Copilot+ PC",N/A,907245
Asus Zenbook S 14 UX5406SA Ultra-7 258V/32/1024/OLED Copilot+ PC,N/A,768820
"HP Laptop i3/8/128 15.6"" bärbar dator",N/A,764589
"Acer Aspire 3 R5-5500U/8/512 15.6"" laptop",N/A,767605
"Lenovo Yoga 7 R7-8HS/16/1000 14"" bärbar dator",N/A,767134
"Lenovo Yoga Slim 7x Snap-12C/16/512 14.5"" Copilot+ PC",N/A,767140
"HP Laptop 14-ep0803no N100/4/128 14"" laptop",N/A,911980
"Samsung Galaxy Book5 Pro 360 U7/32/1024 16"" Copilot+ PC",N/A,877809
"Samsung Galaxy Book4 i3-1315U/8/256/IPS 15.6"" Win 11 Pro bärbar dator (grå)",N/A,797190
Lenovo Yoga Book 9i 14IAH10 bärbar dator U7-255H/32GB/1024,N/A,909085
"HP Spectre x360 Ultra-7/32/1TB 16"" bärbar dator",N/A,722405
"HP EliteBook 830 G11 Ultra-5/32/512 13.3"" bärbar dator",N/A,767213
"Lenovo Yoga 7 R5-8HS/16/512 14"" bärbar dator",N/A,767133
"HP Laptop 15-fc0851no R7-7730U/16/512 15.6"" bärbar dator",N/A,911987
"Lenovo Yoga Slim 9i U7-258V/32/1TB 14"" Copilot+ PC",N/A,880681
"Asus Vivobook S 15 S5507 Snap12C/32/1TB/OLED 15.6"" Copilot+ PC",N/A,768809
MSI Prestige 16 AI+ Evo U7-258V/32/1000/OLED Copilot+ PC,N/A,871146
"HP EliteBook 660 G11/U7-155U/16/512/16"" bärbar dator",N/A,792164
"Microsoft Surface Laptop 10Core/16/512GB 13.8"" Copilot+ PC",N/A,775256
"HP EliteBook 840 G11/U5-125H/16/512/14"" bärbar dator",N/A,792180
"Lenovo Yoga Slim 7i 14IMH9 Ultra 5-125H/16GB/512/OLED 14"" bärbar dator",N/A,910376
"MSI Creator 16 AI Studio Ultra-9/64/2TB/4080 16"" bärbar dator",N/A,788718
