Name,Price,CPU,RAM,Storage,GPU,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Acer Aspire 3 Cel/4/128 17.3"" bärbar dator",4996,Intel® Celeron® N100 processor,"4 GB DDR5 RAM, 128 GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel® Celeron® N100 processor unknown_gpu,3.0
"Acer Aspire 3 i3-N305/8/128 17.3"" bärbar dator",6996,Intel® Core™ i3-N305 processor,"8 GB DDR5 RAM, 128 GB eMMC-lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor unknown_gpu,3.0
Acer Chromebook 314 Cel/4/64GB 14” bärbar dator,3495,Intel Celeron N4500 processor,"4GB LPDDR4X RAM, 64GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel Celeron N4500 processor unknown_gpu,3.0
Acer Chromebook 314 Cel/8/128GB 14” bärbar dator,3995,Intel Celeron N4500 processor,"8GB LPDDR4X RAM, 128GB eMMC-lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel Celeron N4500 processor unknown_gpu,3.0
Acer Chromebook 314 MTK/4/32GB 14” bärbar dator,2986,unknown_cpu,"4 GB LPDDR4X RAM-minne, 32 GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,unknown_cpu unknown_gpu,3.0
"Acer Chromebook Plus 514 i3-N355/8/128/IPS 14"" bärbar dator",4995,Intel® Core™ i3-N355 processor,"8GB LPDDR5X RAM, 128GB eMMC-lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N355 processor unknown_gpu,3.0
"Acer ChromeBook Plus 515 i3-12/8/128GB 15.6"" bärbar dator",5489,Intel® Core™ i3 1235U-processor,"8 GB LPDDR5X RAM-minne, 128 UFS lagringsutrymme",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3 1235U-processor unknown_gpu,3.0
"Acer ChromeBook Plus 515 i5-12/8/256GB 15,6"" bärbar dator",5086,Intel® Core™ i5 1235U-processor,"8GB LPDDR5X RAM, 256 M.2 NVMe SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i5 1235U-processor unknown_gpu,3.0
"Acer Swift 14 AI Snap-10C/16/1024 14"" Copilot+ PC",14499,unknown_cpu,"16GB LPDDR5X RAM, 1024GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
Asus Chromebook CM1402 MediaTek/4/64 bärbar dator,2656,unknown_cpu,"4 GB LPDDR4X RAM-minne, 64 GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,unknown_cpu unknown_gpu,3.0
"ASUS Chromebook CX1505 N4500/4/64/IPS 15.6"" bärbar dator",3495,Intel® Celeron® N4500 processor,4 GB LPDDR5 RAM; 64 GB Flashlagring,,unknown_gpu,Elgiganten,4.0,4.0,Intel® Celeron® N4500 processor unknown_gpu,3.0
"ASUS Chromebook CX1505 N4500/8/128/IPS 15.6"" bärbar dator",4495,Intel® Celeron® N4500 processor,8 GB LPDDR5 RAM; 128 GB Flashlagring,,unknown_gpu,Elgiganten,8.0,8.0,Intel® Celeron® N4500 processor unknown_gpu,3.0
"ASUS Chromebook CX5403 Core5-115U/16/256/IPS 14"" bärbar dator",12990,Intel® Core® Ultra 5 115U processor,16 GB LPDDR5X RAM; 256 GB SSD,,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core® Ultra 5 115U processor unknown_gpu,7.0
"ASUS Chromebook Plus CX1505 Core3-N355/8/128/IPS 15.6"" bärbar dator",5495,Intel® Core® 3-N355 processor,8 GB LPDDR5 RAM; 128 GB Flashlagring,,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core® 3-N355 processor unknown_gpu,3.0
"Asus ChromeBook Plus CX3402CBA i5/8/128 14"" bärbar dator (vit)",5456,Intel® Core™ i5-1235U processor,"8 GB LPDDR5 RAM-minne, 128 GB flashminne",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i5-1235U processor unknown_gpu,3.0
"Asus E410 Cel/4/128 14"" bärbar dator",4996,Intel® Celeron® N4500 processor,"4 GB DDR4 RAM, 128 GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel® Celeron® N4500 processor unknown_gpu,3.0
"Asus ProArt PZ13 Snap-8C/16/1024 13.3"" Copilot+ PC",12586,unknown_cpu,"16GB LPDDR5X RAM, 1TB SSD lagring",,unknown_gpu,Elgiganten,16.0,16384.0,unknown_cpu unknown_gpu,0.0
"Asus Vivobook 15 X1504 i3-12/8/128/IPS 15.6"" bärbar dator",6995,Intel® Core™ i3-1215U processor,"8GB DDR4 RAM, 128GB M.2 PCIe SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-1215U processor unknown_gpu,3.0
"Asus Vivobook 15 X1504 i5-12/8/512/IPS 15.6"" bärbar dator",9996,Intel® Core™ i5-1235U processor,"8GB DDR4 RAM, 512GM M.2 PCIe SSD",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i5-1235U processor unknown_gpu,3.0
"Asus Vivobook 15 X1504 i7-12/16/512/IPS 15.6"" bärbar dator",9999,Intel® Core™ i7-1255U processor,"16GB DDR4 RAM, 512GM M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i7-1255U processor unknown_gpu,7.0
"Asus VivoBook Go 15 R3-7/8/128 15.6"" bärbar dator",8496,AMD Ryzen™ 3 7320U processor,"8GB LPDDR5 RAM, 128GB M.2 PCIe SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 3 7320U processor unknown_gpu,7.0
"Asus Vivobook Go E410KA Pentium/4/128 14"" bärbar dator",2990,Intel® Pentium® N6000 processor,"4 GB DDR4 RAM, 128 GB flashlagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel® Pentium® N6000 processor unknown_gpu,3.0
"Asus Vivobook i5-12/16/512 15,6 tum bärbar dator",12996,Intel® Core™ i5-1235U-processor,"16GB DDR4 RAM, 512GM M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i5-1235U-processor unknown_gpu,7.0
"Asus Vivobook i7-12/16/512/OLED 15,6"" laptop",13995,Intel® Core™ i7-1255U-processor,"16GB DDR4 RAM, 512GM M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i7-1255U-processor unknown_gpu,7.0
"ASUS Vivobook S 14 M5406 AI 7-350/16/512/OLED 14"" Copilot+ PC",11995,AMD™ Ryzen™ AI 7 350 processor,"16 GB LPDDR5X RAM, 512 GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD™ Ryzen™ AI 7 350 processor unknown_gpu,7.0
"Asus Vivobook S 14 M5406 R5/16/512/OLED 14"" bärbar dator",7990,AMD Ryzen 5-7535HS processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 5-7535HS processor unknown_gpu,7.0
"Asus Vivobook S 14 M5406 R7/16/512/OLED 14"" bärbar dator",8990,AMD Ryzen 7-8845HS processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 7-8845HS processor unknown_gpu,7.0
"Asus Vivobook S 14 S5406SA U5-226V/16/512/OLED 14"" Copilot+ PC",13990,Intel® Core™ Ultra 5-226V processor,"16GB LPDDR5X RAM, 512GB M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5-226V processor unknown_gpu,7.0
"Asus Vivobook S 15 S5507 Snap8C/16/512/OLED 15.6"" Copilot+ PC",8786,unknown_cpu,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
"ASUS Vivobook X1504 Core5-120U/16GB/512/IPS 15.6"" bärbar dator",8995,Intel® Core™ 5-120U processor,"16GB DDR4 RAM, 512GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ 5-120U processor unknown_gpu,7.0
"ASUS Vivobook X1504 i3-1315U /8GB/128/IPS 15.6"" bärbar dator",7495,Intel® Core™ i3 processor,"8GB DDR4 RAM, 128GB SSD lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3 processor unknown_gpu,3.0
"ASUS Vivobook X1504 i7-1355U/16GB/512/IPS 15.6"" bärbar dator",10995,Intel® Core™ i7 processor,"16GB DDR4 RAM, 512GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i7 processor unknown_gpu,7.0
"Asus Zenbook A14 Snap8C/32/512GB/OLED 14"" Copilot+ PC",14999,unknown_cpu,"32GB LPDDR5X RAM, 512GB SSD-lagring",,unknown_gpu,Elgiganten,32.0,32.0,unknown_cpu unknown_gpu,0.0
