Name,Price,Specs,CPU,RAM,Storage,Screen,GPU
"MSI Cyborg 14"" WUXGA 144 Hz",13 990:-,"GeForce RTX 4050, Core i7-13620H, 16 GB RAM, 512 GB SSD, Windows 11 Home",Core i7-13620H,16 GB RAM,512 GB SSD,,GeForce RTX 4050
"ASUS Vivobook Go 14 L1404FA 14"" FHD",7 990:-,"Radeon Graphics, Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 5 7520U,16 GB RAM,512 GB SSD,,Radeon Graphics
"Acer Aspire Go 14 14"" WUXGA",3 990:-,"Intel N100, 8 GB RAM, 128 GB SSD, Windows 11 Home",Intel N100,8 GB RAM,128 GB SSD,,
"Samsung Galaxy Book4 Edge 16"" AMOLED 3K 400nits",24 990:-,"Qualcomm Adreno, Snapdragon® X Elite, 16 GB RAM, 1 TB eUFS, Windows 11 Home",,16 GB RAM,,,
"ASUS VivoBook S 15 15,6"" OLED 3K Copilot+ PC",12 490:-,"Qualcomm Adreno, Snapdragon® X Plus, 16 GB RAM, 512 GB, Windows 11 Home",,16 GB RAM,,,
"MSI Thin 15 B13U 15,6"" FHD 144 Hz",10 990:-,"GeForce RTX 3050, Core i5-13420H, 16 GB RAM, 512 GB SSD, Windows 11 Home",Core i5-13420H,16 GB RAM,512 GB SSD,,GeForce RTX 3050
"Lenovo LOQ 15 15,6"" FHD",9 990:-,"GeForce RTX 4050, Ryzen 7 7435HS, 24 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 7 7435HS,24 GB RAM,512 GB SSD,,GeForce RTX 4050
"MSI Modern 14 14"" FHD",9 490:-,"Radeon Graphics, Ryzen 5 7430U, 16 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 5 7430U,16 GB RAM,512 GB SSD,,Radeon Graphics
"ASUS Zephyrus G16 16"" WQXGA OLED 240 Hz",51 990:-,"GeForce RTX 4090, Core Ultra 9 185H, 32 GB RAM, 2 TB SSD, Windows 11 Home",Core Ultra 9 185H,32 GB RAM,2 TB SSD,,GeForce RTX 4090
"Samsung Galaxy Book3 Pro 16"" AMOLED WQXGA+ 120 Hz (Graphite)",24 990:-,"Iris Xe Graphics, Core i7-1360P, 16 GB RAM, 512 GB SSD, Windows 11 Home",Core i7-1360P,16 GB RAM,512 GB SSD,,Iris Xe Graphics
"Lenovo V15 G4 15,6"" Full HD",8 738:-,"Iris Xe Graphics, Core i7-13620H, 16 GB RAM, 512 GB SSD, Windows 11 Pro",Core i7-13620H,16 GB RAM,512 GB SSD,,Iris Xe Graphics
"Lenovo IdeaPad Slim 3 Chrome 14"" FHD",3 290:-,"MediaTek Kompanio 520, 4 GB RAM, 128 GB eMMC, Google Chrome OS",,4 GB RAM,128 GB eMMC,,
"Lenovo IdeaPad Slim 5 14"" WUXGA OLED",8 990:-,"Radeon Graphics, Ryzen 5 8645HS, 16 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 5 8645HS,16 GB RAM,512 GB SSD,,Radeon Graphics
"Acer Swift 14 AI WUXGA 14"" OLED CoPilot+ PC",11 490:-,"Arc Graphics, Core Ultra 7 256V, 16 GB RAM, 512 GB SSD, Windows 11 Home",Core Ultra 7 256V,16 GB RAM,512 GB SSD,,Arc Graphics
"Lenovo IdeaPad 1 15,6"" FHD",6 790:-,"Radeon 610M, Ryzen 3 7320U, 8 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 3 7320U,8 GB RAM,512 GB SSD,,Radeon 610M
"MSI Modern 14 F13MG 14"" FHD",8 990:-,"Iris Xe Graphics, Core i5-1335U, 16 GB RAM, 512 GB SSD, Windows 11 Home",Core i5-1335U,16 GB RAM,512 GB SSD,,Iris Xe Graphics
"Lenovo Legion 9 16"" 3.2K",49 990:-,"GeForce RTX 4090, Core i9-14900HX, 64 GB RAM, 2 TB SSD, Windows 11 Home",Core i9-14900HX,64 GB RAM,2 TB SSD,,GeForce RTX 4090
Macbook Pro 14 M4 (2024) 512GB (silver),22 990:-,"Apple 10-core M4 CPU, 16GB RAM, 512GB SSD, Apple 10-core GPU",Apple 10-core GPU,16GB RAM,512GB SSD,,
"Lenovo V15 G4 15,6"" Full HD",8 113:-,"Iris Xe Graphics, Core i5-13420H, 16 GB RAM, 512 GB SSD, Windows 11 Pro",Core i5-13420H,16 GB RAM,512 GB SSD,,Iris Xe Graphics
"Lenovo ThinkPad X13 G5 13.3"" WUXGA",22 488:-,"Intel Graphics, Core U7-155U, 16GB RAM, 1TB SSD, 5G eSIM, Windows 11 Pro",Core U7-155U,16GB RAM,1TB SSD,,
"MSI Raider 18 HX AI 18"" UHD+",65 990:-,"GeForce RTX 5090, Core Ultra 9 285HX, 64 GB RAM, 2 TB SSD, Windows 11 Home",Core Ultra 9 285HX,64 GB RAM,2 TB SSD,,GeForce RTX 5090
"MSI Katana 15 B13VFK 15,6"" FHD",17 490:-,"GeForce RTX 4060, Core i7-13620H, 16 GB RAM, 1 TB SSD, Windows 11 Home",Core i7-13620H,16 GB RAM,1 TB SSD,,GeForce RTX 4060
"Acer Aspire Lite 15 15,6"" FHD",3 990:-,"Celeron N4500, 4 GB RAM, 128 GB SSD, Windows 11 Home",,4 GB RAM,128 GB SSD,,
"Acer Aspire Go 14 14"" WUXGA",4 990:-,"Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, Windows 11 Home",Ryzen 5 7520U,8 GB RAM,512 GB SSD,,
