Name,Price,Link
Snygg LOQ Tower gaming PC med GeForce RTX 40-seriens grafikkort,11990,https://www.power.se/datorer-och-surfplattor/datorer/stationar-dator/lenovo-loq-tower-17irr9-rtx-4060-512-gb-stationar-dator/p-3832342/
"Kompakt och hållbar 14"" Chromebook bärbar dator",3799,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/asus-chromebook-cx1400cka-nk0412-14-barbar-dator/p-3607022/
MacBook Pro 14″. Vår mest avancerade bärbara Mac.,19990,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/apple-macbook-pro-14-2024-m4-16512-gb-rymdsvart/p-3746129/
Hållbar och lätt bärbar Chromebook-dator,3299,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/asus-chromebook-cx14-cx1405cka-nk0185-14-barbar-dator/p-3864510/
Kompakt och kraftfull bärbar IdeaPad-dator med en AMD Ryzen™ 5-processor,4990,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/lenovo-ideapad-1-15alc7-r58512-gb-156-barbar-dator/p-3152192/
MacBook Pro 14″. Vår mest avancerade bärbara Mac.,19990,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/apple-macbook-pro-14-2024-m4-16512-gb-silver/p-3746128/
"Lätt, kompakt och hållbar bärbar dator med Intel® Core™ i3 processor",3999,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/asus-vivobook-go-14-e1404ga-nk215w-14-barbar-dator-svart/p-3006469/
"Snygg 15,6"" Acer bärbar dator – 12 månaders Microsoft 365-licens ingår",2990,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/acer-aspire-3-a315-35-c1x0-156-barbar-dator/p-3830423/
Snygg bärbar Nitro gamingdator med RTX 2050-grafikkort,7999,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/acer-nitro-v-15-anv15-41-r721-156-barbar-dator/p-3842504/
Snygg LOQ Tower gaming PC med GeForce RTX 30-seriens grafikkort,8999,https://www.power.se/datorer-och-surfplattor/datorer/stationar-dator/lenovo-loq-tower-17irr9-rtx-3050-stationar-dator/p-3832341/
Snygg bärbar gamingdator LOQ med RTX 5060-grafik och en 144 Hz IPS-display,12999,https://www.power.se/datorer-och-surfplattor/datorer/barbar-dator/lenovo-loq-15irx10-512-gb-rtx-5060-156-barbar-dator/p-3988249/
